timestamp,NO2_GM,C2H5OH_GM,VOC_GM,CO_GM,CO_MiCS,C2H5OH_MiCS,VOC_MiCS
0.0,0.946,0.678,0.326,0.062,1.625,0.929,0.436
0.25,0.946,0.679,0.326,0.063,1.596,0.907,0.427
0.5,0.946,0.679,0.325,0.063,1.596,0.907,0.427
0.75,0.946,0.678,0.326,0.063,1.596,0.907,0.427
1.0,0.946,0.679,0.326,0.063,1.625,0.929,0.436
1.25,0.947,0.678,0.325,0.063,1.625,0.929,0.436
1.5,0.946,0.678,0.326,0.063,1.625,0.929,0.436
1.75,0.947,0.678,0.326,0.064,1.655,0.952,0.445
2.0,0.947,0.678,0.326,0.064,1.685,0.974,0.454
2.25,0.947,0.678,0.327,0.064,1.715,0.997,0.463
2.5,0.946,0.678,0.327,0.065,1.715,0.997,0.463
2.75,0.947,0.678,0.328,0.065,1.746,1.02,0.472
3.0,0.948,0.678,0.329,0.065,1.746,1.02,0.472
3.25,0.946,0.678,0.33,0.065,1.776,1.043,0.482
3.5,0.947,0.678,0.33,0.066,1.776,1.043,0.482
3.75,0.948,0.678,0.332,0.066,1.806,1.067,0.491
4.0,0.947,0.678,0.332,0.066,1.806,1.067,0.491
4.25,0.948,0.678,0.333,0.067,1.837,1.091,0.5
4.5,0.949,0.678,0.333,0.067,1.806,1.067,0.491
4.75,0.948,0.678,0.334,0.067,1.837,1.091,0.5
5.0,0.948,0.678,0.334,0.067,1.868,1.115,0.51
5.25,0.948,0.678,0.335,0.068,1.868,1.115,0.51
5.5,0.948,0.678,0.335,0.068,1.868,1.115,0.51
5.75,0.948,0.679,0.336,0.068,1.899,1.139,0.52
6.0,0.948,0.678,0.337,0.068,1.868,1.115,0.51
6.25,0.948,0.678,0.337,0.068,1.899,1.139,0.52
6.5,0.948,0.679,0.338,0.068,1.899,1.139,0.52
6.75,0.947,0.678,0.338,0.068,1.899,1.139,0.52
7.0,0.948,0.678,0.339,0.069,1.899,1.139,0.52
7.25,0.948,0.679,0.34,0.068,1.899,1.139,0.52
7.5,0.948,0.679,0.341,0.069,1.899,1.139,0.52
7.75,0.948,0.678,0.341,0.069,1.899,1.139,0.52
8.0,0.948,0.678,0.342,0.069,1.899,1.139,0.52
8.25,0.947,0.678,0.342,0.069,1.899,1.139,0.52
8.5,0.948,0.678,0.343,0.069,1.93,1.163,0.529
8.75,0.949,0.679,0.344,0.069,1.93,1.163,0.529
9.0,0.949,0.679,0.345,0.07,1.93,1.163,0.529
9.25,0.948,0.678,0.345,0.069,1.961,1.188,0.539
9.5,0.949,0.679,0.346,0.07,1.93,1.163,0.529
9.75,0.949,0.679,0.346,0.07,1.93,1.163,0.529
10.0,0.948,0.678,0.347,0.07,1.992,1.213,0.549
10.25,0.949,0.679,0.348,0.07,1.961,1.188,0.539
10.5,0.949,0.679,0.348,0.07,1.93,1.163,0.529
10.75,0.949,0.679,0.349,0.071,1.961,1.188,0.539
11.0,0.949,0.679,0.348,0.071,1.961,1.188,0.539
11.25,0.949,0.679,0.349,0.071,1.992,1.213,0.549
11.5,0.948,0.678,0.35,0.071,1.961,1.188,0.539
11.75,0.949,0.679,0.35,0.071,1.961,1.188,0.539
12.0,0.948,0.679,0.352,0.071,1.961,1.188,0.539
12.25,0.948,0.678,0.352,0.071,1.992,1.213,0.549
12.5,0.948,0.679,0.352,0.071,1.961,1.188,0.539
12.75,0.949,0.678,0.353,0.071,1.961,1.188,0.539
13.0,0.949,0.679,0.353,0.071,1.961,1.188,0.539
13.25,0.948,0.679,0.354,0.071,1.961,1.188,0.539
13.5,0.949,0.678,0.354,0.071,1.992,1.213,0.549
13.75,0.949,0.68,0.355,0.071,1.961,1.188,0.539
14.0,0.948,0.68,0.355,0.071,1.961,1.188,0.539
14.25,0.949,0.679,0.356,0.071,1.992,1.213,0.549
14.5,0.949,0.679,0.356,0.071,1.992,1.213,0.549
14.75,0.949,0.679,0.357,0.071,1.992,1.213,0.549
15.0,0.949,0.679,0.358,0.072,1.992,1.213,0.549
15.25,0.949,0.679,0.358,0.071,2.024,1.238,0.558
15.5,0.948,0.679,0.358,0.071,2.024,1.238,0.558
15.75,0.948,0.678,0.358,0.071,2.024,1.238,0.558
16.0,0.948,0.679,0.359,0.071,1.992,1.213,0.549
16.25,0.949,0.679,0.359,0.072,2.024,1.238,0.558
16.5,0.948,0.679,0.36,0.071,2.024,1.238,0.558
16.75,0.949,0.679,0.36,0.072,2.024,1.238,0.558
17.0,0.949,0.679,0.361,0.072,1.992,1.213,0.549
17.25,0.949,0.679,0.361,0.072,2.024,1.238,0.558
17.5,0.948,0.68,0.362,0.071,2.024,1.238,0.558
17.75,0.949,0.679,0.362,0.072,2.024,1.238,0.558
18.0,0.948,0.679,0.363,0.072,2.024,1.238,0.558
18.25,0.949,0.679,0.364,0.072,2.024,1.238,0.558
18.5,0.949,0.679,0.363,0.072,2.024,1.238,0.558
18.75,0.949,0.679,0.364,0.072,2.024,1.238,0.558
19.0,0.95,0.679,0.364,0.071,2.024,1.238,0.558
19.25,0.949,0.678,0.364,0.072,2.024,1.238,0.558
19.5,0.949,0.679,0.365,0.072,2.024,1.238,0.558
19.75,0.949,0.679,0.366,0.072,2.024,1.238,0.558
20.0,0.949,0.679,0.366,0.072,2.056,1.263,0.568
20.25,0.948,0.679,0.366,0.072,2.056,1.263,0.568
20.5,0.949,0.679,0.367,0.072,2.056,1.263,0.568
20.75,0.949,0.68,0.367,0.072,2.056,1.263,0.568
21.0,0.949,0.679,0.368,0.072,2.087,1.289,0.578
21.25,0.949,0.68,0.368,0.072,2.056,1.263,0.568
21.5,0.948,0.679,0.369,0.072,2.056,1.263,0.568
21.75,0.948,0.681,0.369,0.072,2.056,1.263,0.568
22.0,0.95,0.679,0.369,0.072,2.087,1.289,0.578
22.25,0.949,0.679,0.37,0.072,2.056,1.263,0.568
22.5,0.949,0.679,0.37,0.072,2.087,1.289,0.578
22.75,0.949,0.679,0.37,0.073,2.087,1.289,0.578
23.0,0.949,0.68,0.371,0.073,2.056,1.263,0.568
23.25,0.948,0.679,0.371,0.073,2.087,1.289,0.578
