timestamp,NO2_GM,C2H5OH_GM,VOC_GM,CO_GM,CO_MiCS,C2H5OH_MiCS,VOC_MiCS
0.0,0.921,0.692,0.542,0.077,2.683,1.79,0.769
0.25,0.921,0.693,0.542,0.078,2.248,1.42,0.629
0.5,0.921,0.691,0.542,0.077,2.281,1.447,0.64
0.75,0.921,0.692,0.542,0.077,2.248,1.42,0.629
1.0,0.921,0.692,0.541,0.077,2.248,1.42,0.629
1.25,0.921,0.692,0.542,0.077,2.281,1.447,0.64
1.5,0.921,0.692,0.542,0.079,2.314,1.475,0.65
1.75,0.921,0.692,0.543,0.08,2.513,1.643,0.714
2.0,0.921,0.692,0.544,0.081,2.581,1.701,0.736
2.25,0.922,0.692,0.546,0.081,2.581,1.701,0.736
2.5,0.922,0.692,0.546,0.082,2.649,1.76,0.758
2.75,0.922,0.692,0.548,0.083,2.683,1.79,0.769
3.0,0.922,0.693,0.548,0.083,2.718,1.82,0.78
3.25,0.921,0.692,0.55,0.084,2.752,1.851,0.791
3.5,0.922,0.692,0.55,0.084,2.752,1.851,0.791
3.75,0.922,0.692,0.55,0.084,2.787,1.881,0.803
4.0,0.922,0.692,0.552,0.085,2.787,1.881,0.803
4.25,0.922,0.692,0.553,0.085,2.822,1.912,0.814
4.5,0.922,0.692,0.554,0.085,2.822,1.912,0.814
4.75,0.923,0.692,0.554,0.086,2.822,1.912,0.814
5.0,0.922,0.692,0.556,0.085,2.822,1.912,0.814
5.25,0.922,0.692,0.557,0.086,2.857,1.943,0.825
5.5,0.922,0.692,0.559,0.086,2.892,1.974,0.837
5.75,0.922,0.692,0.559,0.086,2.822,1.912,0.814
6.0,0.922,0.691,0.56,0.085,2.892,1.974,0.837
6.25,0.923,0.692,0.562,0.086,2.857,1.943,0.825
6.5,0.922,0.692,0.564,0.086,2.857,1.943,0.825
6.75,0.922,0.693,0.564,0.087,2.857,1.943,0.825
7.0,0.922,0.692,0.564,0.086,2.857,1.943,0.825
7.25,0.922,0.692,0.564,0.086,2.857,1.943,0.825
7.5,0.922,0.693,0.565,0.087,2.927,2.006,0.849
7.75,0.922,0.692,0.566,0.087,2.892,1.974,0.837
8.0,0.922,0.692,0.566,0.087,2.892,1.974,0.837
8.25,0.922,0.693,0.567,0.087,2.857,1.943,0.825
8.5,0.922,0.692,0.567,0.087,2.892,1.974,0.837
8.75,0.922,0.692,0.569,0.086,2.927,2.006,0.849
9.0,0.923,0.693,0.569,0.086,2.892,1.974,0.837
9.25,0.922,0.693,0.569,0.086,2.892,1.974,0.837
9.5,0.922,0.692,0.57,0.087,2.927,2.006,0.849
9.75,0.922,0.693,0.57,0.086,2.963,2.038,0.86
10.0,0.923,0.692,0.57,0.087,2.927,2.006,0.849
10.25,0.923,0.692,0.572,0.087,2.927,2.006,0.849
10.5,0.922,0.692,0.572,0.087,2.927,2.006,0.849
10.75,0.922,0.692,0.572,0.087,2.963,2.038,0.86
11.0,0.923,0.693,0.573,0.087,2.963,2.038,0.86
11.25,0.922,0.693,0.573,0.087,3.07,2.135,0.896
11.5,0.923,0.692,0.574,0.088,2.963,2.038,0.86
11.75,0.922,0.692,0.576,0.087,2.998,2.07,0.872
12.0,0.923,0.692,0.576,0.087,2.963,2.038,0.86
12.25,0.923,0.692,0.576,0.087,2.963,2.038,0.86
12.5,0.922,0.692,0.576,0.088,2.963,2.038,0.86
12.75,0.922,0.692,0.577,0.088,2.998,2.07,0.872
13.0,0.923,0.692,0.577,0.088,2.963,2.038,0.86
13.25,0.923,0.693,0.577,0.088,2.927,2.006,0.849
13.5,0.922,0.693,0.578,0.087,2.963,2.038,0.86
13.75,0.923,0.693,0.578,0.087,2.998,2.07,0.872
14.0,0.922,0.692,0.578,0.087,2.963,2.038,0.86
14.25,0.923,0.692,0.58,0.087,2.927,2.006,0.849
14.5,0.922,0.693,0.58,0.087,2.963,2.038,0.86
14.75,0.923,0.692,0.58,0.087,2.963,2.038,0.86
15.0,0.923,0.692,0.58,0.088,2.963,2.038,0.86
15.25,0.923,0.693,0.58,0.087,2.963,2.038,0.86
15.5,0.923,0.692,0.581,0.088,2.963,2.038,0.86
15.75,0.923,0.693,0.581,0.088,2.998,2.07,0.872
16.0,0.923,0.692,0.581,0.088,2.998,2.07,0.872
16.25,0.923,0.692,0.582,0.088,2.998,2.07,0.872
16.5,0.924,0.692,0.582,0.088,3.034,2.102,0.884
16.75,0.924,0.692,0.582,0.088,2.998,2.07,0.872
17.0,0.923,0.692,0.582,0.088,2.998,2.07,0.872
17.25,0.923,0.692,0.583,0.088,2.998,2.07,0.872
17.5,0.923,0.692,0.583,0.088,2.998,2.07,0.872
17.75,0.924,0.692,0.584,0.088,3.034,2.102,0.884
18.0,0.923,0.693,0.584,0.089,3.07,2.135,0.896
18.25,0.923,0.693,0.585,0.089,3.07,2.135,0.896
18.5,0.924,0.692,0.585,0.089,3.034,2.102,0.884
18.75,0.924,0.692,0.586,0.088,3.034,2.102,0.884
19.0,0.924,0.693,0.586,0.089,3.07,2.135,0.896
19.25,0.923,0.692,0.586,0.088,3.034,2.102,0.884
19.5,0.924,0.692,0.587,0.089,3.034,2.102,0.884
19.75,0.923,0.693,0.588,0.089,3.034,2.102,0.884
20.0,0.924,0.692,0.588,0.089,3.034,2.102,0.884
20.25,0.924,0.693,0.588,0.089,3.07,2.135,0.896
20.5,0.923,0.693,0.588,0.089,3.034,2.102,0.884
20.75,0.924,0.693,0.589,0.089,3.034,2.102,0.884
21.0,0.924,0.692,0.59,0.088,3.07,2.135,0.896
21.25,0.924,0.693,0.59,0.089,3.034,2.102,0.884
21.5,0.924,0.693,0.59,0.089,3.034,2.102,0.884
21.75,0.923,0.693,0.59,0.09,3.034,2.102,0.884
22.0,0.924,0.693,0.59,0.089,3.034,2.102,0.884
22.25,0.924,0.693,0.591,0.088,3.034,2.102,0.884
22.5,0.924,0.693,0.591,0.089,3.034,2.102,0.884
22.75,0.924,0.693,0.591,0.09,3.07,2.135,0.896
23.0,0.923,0.693,0.591,0.089,2.998,2.07,0.872
23.25,0.923,0.693,0.592,0.089,3.034,2.102,0.884
23.5,0.924,0.693,0.593,0.089,3.106,2.168,0.907
23.75,0.924,0.693,0.593,0.09,3.034,2.102,0.884
24.0,0.924,0.693,0.593,0.089,3.07,2.135,0.896
24.25,0.924,0.693,0.594,0.09,3.106,2.168,0.907
24.5,0.923,0.692,0.594,0.09,3.178,2.234,0.932
24.75,0.924,0.693,0.594,0.09,3.07,2.135,0.896
25.0,0.924,0.693,0.594,0.09,3.07,2.135,0.896
25.25,0.924,0.693,0.596,0.09,3.07,2.135,0.896
25.5,0.923,0.693,0.596,0.09,3.07,2.135,0.896
25.75,0.924,0.693,0.596,0.089,3.07,2.135,0.896
26.0,0.925,0.692,0.596,0.089,3.106,2.168,0.907
26.25,0.924,0.693,0.596,0.089,3.142,2.201,0.919
26.5,0.924,0.693,0.597,0.09,3.106,2.168,0.907
26.75,0.924,0.693,0.597,0.09,3.106,2.168,0.907
27.0,0.924,0.693,0.596,0.09,3.106,2.168,0.907
27.25,0.923,0.693,0.597,0.09,3.106,2.168,0.907
27.5,0.925,0.693,0.597,0.09,3.106,2.168,0.907
27.75,0.924,0.693,0.598,0.09,3.106,2.168,0.907
28.0,0.924,0.693,0.597,0.09,3.106,2.168,0.907
28.25,0.924,0.693,0.598,0.09,3.07,2.135,0.896
28.5,0.924,0.693,0.598,0.09,3.106,2.168,0.907
28.75,0.925,0.693,0.599,0.091,3.07,2.135,0.896
29.0,0.924,0.693,0.598,0.09,3.106,2.168,0.907
29.25,0.924,0.693,0.599,0.09,3.07,2.135,0.896
29.5,0.924,0.693,0.599,0.091,3.178,2.234,0.932
29.75,0.924,0.693,0.599,0.091,3.07,2.135,0.896
30.0,0.925,0.693,0.599,0.09,3.07,2.135,0.896
30.25,0.924,0.693,0.599,0.091,3.07,2.135,0.896
30.5,0.924,0.693,0.6,0.091,3.106,2.168,0.907
30.75,0.925,0.693,0.599,0.09,3.106,2.168,0.907
31.0,0.924,0.693,0.601,0.091,3.142,2.201,0.919
31.25,0.924,0.693,0.601,0.091,3.106,2.168,0.907
31.5,0.925,0.693,0.602,0.091,3.106,2.168,0.907
31.75,0.924,0.693,0.602,0.091,3.142,2.201,0.919
32.0,0.924,0.693,0.602,0.09,3.142,2.201,0.919
32.25,0.925,0.694,0.604,0.091,3.142,2.201,0.919
32.5,0.925,0.693,0.604,0.091,3.142,2.201,0.919
32.75,0.925,0.693,0.604,0.091,3.142,2.201,0.919
33.0,0.925,0.693,0.604,0.091,3.142,2.201,0.919
33.25,0.925,0.693,0.604,0.091,3.142,2.201,0.919
33.5,0.924,0.693,0.605,0.091,3.215,2.267,0.944
33.75,0.924,0.693,0.605,0.091,3.142,2.201,0.919
34.0,0.925,0.693,0.606,0.091,3.178,2.234,0.932
34.25,0.925,0.693,0.605,0.091,3.142,2.201,0.919
34.5,0.924,0.693,0.606,0.091,3.142,2.201,0.919
34.75,0.925,0.693,0.605,0.091,3.178,2.234,0.932
35.0,0.924,0.693,0.606,0.091,3.142,2.201,0.919
35.25,0.924,0.694,0.606,0.092,3.142,2.201,0.919
35.5,0.924,0.694,0.608,0.091,3.142,2.201,0.919
35.75,0.924,0.694,0.606,0.091,3.106,2.168,0.907
36.0,0.924,0.693,0.608,0.091,3.178,2.234,0.932
36.25,0.925,0.694,0.607,0.092,3.142,2.201,0.919
36.5,0.925,0.693,0.608,0.091,3.142,2.201,0.919
36.75,0.925,0.694,0.608,0.092,3.142,2.201,0.919
37.0,0.925,0.693,0.609,0.092,3.142,2.201,0.919
37.25,0.925,0.694,0.609,0.091,3.142,2.201,0.919
37.5,0.925,0.694,0.609,0.091,3.142,2.201,0.919
37.75,0.925,0.694,0.609,0.092,3.142,2.201,0.919
38.0,0.925,0.693,0.61,0.091,3.142,2.201,0.919
38.25,0.925,0.693,0.61,0.092,3.142,2.201,0.919
38.5,0.925,0.693,0.61,0.092,3.142,2.201,0.919
38.75,0.925,0.693,0.61,0.092,3.142,2.201,0.919
39.0,0.925,0.694,0.61,0.091,3.142,2.201,0.919
39.25,0.925,0.693,0.61,0.092,3.142,2.201,0.919
39.5,0.925,0.693,0.612,0.092,3.142,2.201,0.919
39.75,0.925,0.694,0.612,0.092,3.142,2.201,0.919
40.0,0.925,0.694,0.612,0.092,3.142,2.201,0.919
40.25,0.925,0.694,0.612,0.092,3.142,2.201,0.919
40.5,0.924,0.694,0.612,0.092,3.142,2.201,0.919
40.75,0.925,0.694,0.612,0.093,3.142,2.201,0.919
41.0,0.924,0.693,0.612,0.092,3.142,2.201,0.919
41.25,0.925,0.694,0.613,0.092,3.178,2.234,0.932
41.5,0.925,0.693,0.612,0.092,3.142,2.201,0.919
41.75,0.925,0.694,0.613,0.092,3.142,2.201,0.919
42.0,0.925,0.694,0.613,0.093,3.142,2.201,0.919
42.25,0.925,0.693,0.613,0.093,3.178,2.234,0.932
42.5,0.925,0.693,0.613,0.093,3.142,2.201,0.919
